"Dictamen";"Antiguedad.Trabajo";"Vivienda";"Plazo";"Edad";"Estado.civil";"Registros";"Tipo.trabajo";"Gastos";"Ingresos";"Patrimonio";"Cargas.patrimoniales";"Importe.solicitado";"Precio.del.bien.financiado"
"negatiu";6;"pares";60;28;"casat";"reg_no";"Auto";90;325;7000;0;1200;1211
"positiu";5;"escriptura";60;27;"casat";"reg_no";"Fix";45;135;5000;1400;1600;1650
"negatiu";13;"pares";36;33;"solter";"reg_no";"Fix";35;109;0;0;350;350
"positiu";11;"lloguer";60;32;"casat";"reg_no";"Fix";79;185;0;0;950;1117
"positiu";10;"escriptura";24;39;"casat";"reg_no";"Fix";45;217;9000;3000;1500;2468
"negatiu";20;"escriptura";60;51;"casat";"reg_no";"Auto";90;300;12500;2500;1340;1740
"negatiu";0;"escriptura";36;39;"solter";"reg_no";"Auto";35;0;4000;0;1000;1210
"positiu";13;"escriptura";48;29;"casat";"reg_no";"Fix";60;253;3000;0;670;963
"negatiu";2;"escriptura";36;32;"casat";"reg_no";"Fix";75;101;1500;400;1200;1646
"negatiu";3;"escriptura";36;40;"casat";"reg_si";"Auto";35;200;10000;0;800;800
"positiu";12;"escriptura";36;47;"casat";"reg_no";"Fix";75;124;3500;0;460;470
"positiu";20;"escriptura";24;66;"casat";"reg_no";"Fix";45;143;10000;0;950;1370
"positiu";3;"contr_privat";48;39;"separat";"reg_no";"Auto";35;250;4000;1500;700;839
"positiu";27;"escriptura";60;50;"casat";"reg_no";"Fix";75;135;5500;1000;600;1346
"positiu";4;"lloguer";60;25;"casat";"reg_no";"Fix";57;115;0;0;900;1350
"negatiu";1;"escriptura";60;27;"casat";"reg_no";"Temp";75;160;4000;3000;1800;2100
"positiu";18;"lloguer";60;54;"casat";"reg_no";"Fix";66;214;0;0;1300;1307
"positiu";12;"lloguer";60;42;"casat";"reg_no";"Fix";114;390;0;0;1100;1126
"positiu";12;"escriptura";48;35;"separat";"reg_no";"Auto";45;500;200000;0;2380;4786
"negatiu";0;"pares";60;23;"solter";"reg_no";"Temp";35;95;0;0;1400;1478
"positiu";12;"escriptura";60;52;"casat";"reg_no";"Fix";75;200;12000;0;1550;1568
"positiu";0;"pares";24;22;"solter";"reg_no";"Temp";35;85;0;0;650;1056
"positiu";10;"altres viv";18;48;"casat";"reg_no";"Fix";90;214;0;0;1000;1608
"positiu";2;"escriptura";60;25;"casat";"reg_no";"Fix";75;140;3000;0;950;1179
"negatiu";10;"altres viv";60;26;"casat";"reg_no";"Fix";45;60;0;0;1400;1524
"positiu";8;"escriptura";60;28;"casat";"reg_no";"Fix";75;180;4000;0;1300;1730
"positiu";20;"escriptura";30;62;"casat";"reg_no";"Auto";60;300;24000;9000;600;823
"positiu";0;"lloguer";60;33;"casat";"reg_no";"Auto";65;200;0;0;700;800
"positiu";16;"pares";60;41;"casat";"reg_no";"Fix";75;242;0;0;1300;1482
"positiu";4;"escriptura";60;29;"casat";"reg_no";"Temp";60;155;5000;2500;900;1110
"negatiu";1;"lloguer";60;37;"solter";"reg_no";"Fix";45;100;0;0;1150;1555
"positiu";0;"escriptura";60;31;"casat";"reg_no";"Fix";60;105;3500;0;1100;1170
"positiu";15;"escriptura";12;50;"casat";"reg_no";"Auto";45;166;2000;0;500;886
"negatiu";13;"lloguer";60;42;"separat";"reg_si";"Fix";47;120;0;0;800;1395
"positiu";19;"escriptura";36;33;"casat";"reg_no";"Fix";60;115;6700;2000;1000;2084
"positiu";15;"escriptura";24;54;"casat";"reg_no";"Auto";90;350;150000;0;3800;8800
"positiu";40;"escriptura";36;58;"casat";"reg_no";"Auto";75;0;50000;0;1000;1160
"positiu";9;"lloguer";60;40;"casat";"reg_no";"Fix";119;442;6000;1947;900;1211
"negatiu";12;"pares";60;31;"separat";"reg_si";"Fix";35;101;0;0;1300;1300
"negatiu";0;"escriptura";36;35;"casat";"reg_si";"Fix";105;122;5200;2000;850;850
"positiu";14;"escriptura";60;64;"casat";"reg_no";"Auto";60;250;10000;0;700;1204
"positiu";10;"pares";24;29;"solter";"reg_no";"Auto";35;90;0;0;600;1528
"positiu";2;"escriptura";48;33;"casat";"reg_no";"Fix";45;160;6000;0;1200;1298
"positiu";15;"escriptura";18;35;"casat";"reg_no";"Auto";60;300;4000;0;300;600
"negatiu";1;"pares";48;28;"solter";"reg_no";"Fix";35;83;0;0;1000;1320
"positiu";27;"escriptura";60;59;"casat";"reg_no";"Auto";45;0;11000;0;1100;1300
"negatiu";0;"altres viv";60;25;"casat";"reg_no";"Temp";60;60;0;0;1300;1380
"negatiu";0;"pares";60;23;"solter";"reg_no";"Temp";35;205;0;0;1400;1426
"positiu";3;"escriptura";24;30;"casat";"reg_no";"Auto";75;133;12000;900;1500;5200
"positiu";8;"lloguer";36;36;"casat";"reg_no";"Fix";78;179;0;0;900;1503
"positiu";3;"escriptura";48;25;"solter";"reg_no";"Auto";35;0;4000;0;1200;1449
"positiu";5;"altres viv";60;22;"solter";"reg_no";"Fix";45;195;0;0;700;1422
"positiu";9;"escriptura";24;45;"casat";"reg_no";"Fix";75;112;4000;0;500;1430
"positiu";4;"escriptura";30;47;"casat";"reg_no";"Auto";90;210;15000;0;1550;1578
"positiu";14;"contr_privat";48;36;"casat";"reg_no";"Fix";75;155;3500;200;1100;1250
"positiu";3;"escriptura";36;36;"solter";"reg_si";"Auto";35;394;16000;0;1500;2260
"positiu";22;"lloguer";36;60;"casat";"reg_no";"Fix";60;149;0;0;200;280
"positiu";20;"lloguer";48;59;"casat";"reg_no";"Fix";57;120;0;0;800;1298
"negatiu";6;"escriptura";48;58;"casat";"reg_si";"Auto";60;400;86000;0;930;945
"positiu";23;"escriptura";12;37;"casat";"reg_no";"Fix";45;165;5000;0;900;1694
"negatiu";5;"escriptura";36;32;"casat";"reg_no";"Auto";75;125;6000;0;600;700
"positiu";8;"lloguer";48;26;"solter";"reg_no";"Fix";42;74;0;0;600;1290
"positiu";5;"escriptura";60;40;"casat";"reg_no";"Fix";75;86;4900;0;1300;1581
"positiu";20;"escriptura";48;55;"casat";"reg_no";"Fix";45;185;5000;0;1000;1383
"positiu";11;"lloguer";60;30;"casat";"reg_no";"Fix";77;165;0;0;1350;1637
"positiu";25;"pares";54;43;"casat";"reg_no";"Fix";75;110;7000;0;1275;1275
"negatiu";2;"lloguer";60;28;"casat";"reg_no";"Fix";74;138;0;0;1400;1400
"positiu";20;"escriptura";24;47;"casat";"reg_no";"Auto";75;300;5000;0;600;832
"positiu";9;"escriptura";36;29;"solter";"reg_no";"Fix";35;147;3500;0;1886;2886
"negatiu";0;"lloguer";60;48;"separat";"reg_si";"Auto";35;0;25300;15500;1200;1257
"positiu";18;"pares";60;34;"casat";"reg_no";"Fix";60;112;6550;0;600;1346
"positiu";20;"escriptura";60;53;"casat";"reg_si";"Auto";75;350;6500;0;800;1138
"positiu";6;"escriptura";12;44;"casat";"reg_no";"Fix";45;110;15000;0;300;1801
"negatiu";0;"escriptura";48;49;"casat";"reg_no";"Temp";45;75;2000;0;900;1200
"positiu";0;"lloguer";36;51;"casat";"reg_no";"Fix";113;230;0;0;950;950
"positiu";14;"ignora_cont";60;34;"casat";"reg_no";"Fix";75;85;8000;0;1400;1589
"positiu";10;"escriptura";48;42;"casat";"reg_no";"Auto";75;210;4000;120;1200;1617
"positiu";19;"escriptura";60;34;"casat";"reg_no";"Fix";75;125;5000;0;1200;1200
"positiu";11;"escriptura";60;46;"casat";"reg_no";"Fix";75;149;3500;0;1400;2194
"positiu";1;"escriptura";48;31;"casat";"reg_no";"Fix";75;201;2500;96;1100;1642
"negatiu";13;"altres viv";60;31;"casat";"reg_no";"Fix";60;105;0;0;1200;1423
"positiu";4;"lloguer";12;33;"casat";"reg_no";"Fix";78;183;0;0;600;1600
"negatiu";9;"lloguer";24;30;"solter";"reg_si";"Fix";46;113;0;0;700;700
"positiu";1;"escriptura";24;27;"casat";"reg_no";"Fix";45;126;3000;3700;200;300
"positiu";4;"escriptura";36;48;"casat";"reg_no";"Auto";120;300;5000;0;1000;1165
"positiu";2;"escriptura";60;33;"casat";"reg_no";"Fix";75;160;6000;0;1000;1365
"positiu";2;"escriptura";12;44;"casat";"reg_no";"Fix";90;160;7500;0;500;1706
"negatiu";0;"altres viv";36;48;"casat";"reg_si";"Auto";45;0;0;0;1600;2053
"positiu";21;"escriptura";60;57;"casat";"reg_no";"Auto";60;95;8000;0;1000;1700
"positiu";12;"escriptura";60;34;"casat";"reg_si";"Fix";75;125;5500;4000;950;1462
"positiu";9;"lloguer";60;38;"casat";"reg_no";"Fix";87;120;0;0;1177;1300
"positiu";2;"lloguer";36;35;"casat";"reg_no";"Fix";126;359;0;0;870;1122
"positiu";24;"escriptura";60;52;"casat";"reg_no";"Fix";45;80;4000;0;1200;1257
"positiu";1;"pares";60;28;"solter";"reg_no";"Temp";35;67;0;0;1050;1387
"positiu";15;"escriptura";48;46;"casat";"reg_no";"Fix";90;148;12000;0;1000;1266
"positiu";19;"escriptura";60;56;"casat";"reg_si";"Fix";45;298;8000;0;1700;2195
"positiu";10;"escriptura";24;52;"casat";"reg_no";"Fix";75;318;4500;700;700;2004
"positiu";19;"escriptura";60;35;"casat";"reg_no";"Fix";75;185;4000;0;1100;1203
"positiu";10;"escriptura";36;45;"casat";"reg_si";"Auto";60;0;9500;250;750;1138
"positiu";4;"pares";48;29;"casat";"reg_no";"Fix";45;194;0;0;1200;1374
"negatiu";1;"pares";60;22;"solter";"reg_no";"Fix";35;80;3000;0;1500;1514
"positiu";2;"escriptura";24;33;"casat";"reg_si";"Fix";75;147;2000;900;400;750
"positiu";5;"escriptura";24;41;"casat";"reg_no";"Auto";105;156;10000;0;800;1894
"positiu";11;"escriptura";36;37;"casat";"reg_no";"Fix";75;178;3000;0;1000;1048
"positiu";23;"escriptura";24;46;"casat";"reg_no";"Fix";75;130;4000;0;400;1369
"negatiu";4;"altres viv";36;19;"solter";"reg_no";"Temp";35;63;0;0;1000;1035
"negatiu";5;"pares";36;22;"solter";"reg_no";"Fix";35;88;0;0;750;1218
"positiu";15;"pares";60;31;"casat";"reg_no";"Fix";45;140;0;0;1200;1637
"negatiu";1;"contr_privat";60;44;"casat";"reg_no";"Temp";45;115;2000;0;750;953
"positiu";9;"escriptura";60;48;"casat";"reg_si";"Fix";60;83;2500;0;1100;1212
"positiu";4;"contr_privat";36;31;"casat";"reg_no";"Fix";60;144;3000;0;1000;1218
"positiu";20;"escriptura";24;53;"casat";"reg_no";"Auto";45;200;100000;0;1000;1419
"positiu";10;"altres viv";60;36;"casat";"reg_no";"Fix";90;172;3000;0;1100;1100
"positiu";2;"contr_privat";60;46;"casat";"reg_no";"Auto";105;200;4000;500;900;987
"positiu";15;"escriptura";60;37;"casat";"reg_no";"Fix";60;318;7000;0;1900;2400
"positiu";8;"escriptura";60;34;"casat";"reg_no";"Fix";60;177;6300;4000;1370;1375
"positiu";4;"escriptura";48;36;"casat";"reg_no";"Fix";60;133;4000;0;1000;1595
"positiu";4;"escriptura";60;64;"solter";"reg_no";"Other";35;150;9000;0;984;1054
"positiu";1;"escriptura";36;27;"solter";"reg_no";"Fix";35;208;9000;0;1000;1651
"positiu";10;"escriptura";30;26;"casat";"reg_no";"Fix";75;145;1434;0;300;1542
"positiu";32;"escriptura";60;53;"casat";"reg_no";"Fix";60;157;5000;0;2000;2014
"positiu";12;"escriptura";60;50;"casat";"reg_no";"Fix";45;190;9500;200;1800;2624
"negatiu";0;"pares";60;21;"solter";"reg_no";"Temp";35;86;0;0;1000;1135
"positiu";20;"pares";24;40;"solter";"reg_no";"Fix";35;90;0;0;600;1105
"positiu";6;"lloguer";60;49;"casat";"reg_si";"Temp";100;100;30000;0;1500;1500
"negatiu";4;"lloguer";24;40;"casat";"reg_si";"Fix";56;214;0;0;800;1200
"positiu";1;"lloguer";60;37;"solter";"reg_no";"Fix";45;100;0;0;1150;1555
"positiu";2;"lloguer";48;25;"casat";"reg_no";"Fix";57;117;0;0;800;2251
"positiu";25;"escriptura";18;40;"casat";"reg_no";"Fix";45;110;4000;0;455;1542
"positiu";1;"lloguer";36;22;"casat";"reg_no";"Fix";62;168;0;0;1200;2186
"positiu";10;"escriptura";48;49;"casat";"reg_no";"Auto";45;150;9000;0;1700;1700
"positiu";2;"escriptura";60;34;"casat";"reg_no";"Fix";45;166;7000;0;600;1180
"positiu";3;"VivUnkown";24;42;"solter";"reg_no";"Fix";35;337;99999999;99999999;1300;1624
"negatiu";13;"lloguer";24;49;"casat";"reg_no";"Auto";90;0;0;0;700;800
"negatiu";10;"lloguer";60;43;"casat";"reg_no";"Auto";90;0;0;0;1350;1668
"positiu";20;"escriptura";36;42;"casat";"reg_no";"Auto";90;250;4500;0;1500;1750
"positiu";10;"escriptura";48;28;"casat";"reg_si";"Temp";60;120;2500;1500;600;875
"positiu";1;"escriptura";60;30;"casat";"reg_no";"Auto";35;236;3500;1000;1000;1514
"negatiu";1;"escriptura";60;25;"separat";"reg_si";"Temp";45;277;6000;3500;1700;1950
"negatiu";0;"pares";60;22;"solter";"reg_no";"Temp";35;55;0;0;950;1462
"positiu";5;"pares";36;27;"solter";"reg_no";"Fix";35;200;4000;0;600;1098
"positiu";3;"pares";60;26;"solter";"reg_no";"Fix";45;235;0;0;800;840
"negatiu";0;"escriptura";48;28;"casat";"reg_no";"Fix";45;80;1500;0;1260;1634
"positiu";6;"escriptura";48;35;"casat";"reg_no";"Auto";45;200;7000;0;1540;1603
"positiu";21;"contr_privat";60;51;"casat";"reg_no";"Fix";45;140;3000;0;1200;1200
"positiu";5;"lloguer";60;24;"casat";"reg_no";"Fix";73;125;0;0;700;1360
"positiu";12;"lloguer";60;34;"casat";"reg_no";"Fix";94;185;0;0;1200;1236
"positiu";13;"escriptura";42;34;"casat";"reg_no";"Fix";105;190;2500;300;1100;1395
"positiu";10;"escriptura";60;49;"casat";"reg_no";"Auto";60;150;23000;0;1200;1390
"positiu";6;"escriptura";60;28;"casat";"reg_no";"Fix";60;102;5000;0;700;1355
"positiu";18;"lloguer";60;57;"casat";"reg_no";"Fix";77;170;4000;0;1300;1604
"positiu";15;"escriptura";60;63;"casat";"reg_no";"Fix";60;315;3500;266;1000;1241
"negatiu";0;"lloguer";12;37;"casat";"reg_no";"Other";88;130;0;0;250;375
"positiu";2;"escriptura";36;27;"casat";"reg_no";"Fix";45;156;6000;0;700;1045
"positiu";18;"lloguer";60;39;"casat";"reg_no";"Fix";93;177;0;0;800;1781
"positiu";12;"escriptura";36;64;"solter";"reg_si";"Auto";60;341;4500;0;900;900
"positiu";25;"escriptura";48;49;"casat";"reg_no";"Auto";105;240;12000;4200;1660;1698
"positiu";8;"escriptura";12;49;"casat";"reg_no";"Auto";60;142;6000;0;200;1048
"positiu";20;"escriptura";36;45;"casat";"reg_no";"Auto";75;333;5000;0;1000;2200
"positiu";3;"pares";60;27;"solter";"reg_no";"Fix";35;125;5000;0;770;1119
"positiu";2;"pares";36;30;"casat";"reg_no";"Fix";45;170;0;0;700;1090
"negatiu";2;"escriptura";36;33;"casat";"reg_no";"Auto";75;220;16000;500;3000;4100
"positiu";15;"escriptura";36;40;"casat";"reg_no";"Fix";60;230;8500;480;700;1400
"positiu";3;"escriptura";60;30;"separat";"reg_no";"Fix";60;157;15000;0;1000;2010
"positiu";4;"pares";12;30;"casat";"reg_no";"Fix";60;340;16000;0;1900;2014
"positiu";3;"escriptura";60;25;"casat";"reg_no";"Temp";60;120;3500;200;1000;1342
"positiu";9;"lloguer";60;40;"solter";"reg_no";"Fix";44;91;0;0;1000;1132
"negatiu";4;"contr_privat";42;50;"casat";"reg_no";"Auto";60;150;7000;0;900;1048
"positiu";2;"escriptura";36;23;"solter";"reg_no";"Fix";35;88;5500;0;750;1218
"positiu";1;"altres viv";48;28;"solter";"reg_no";"Temp";35;120;0;0;900;1114
"negatiu";2;"lloguer";60;35;"casat";"reg_si";"Auto";75;0;0;0;1000;1206
"positiu";2;"lloguer";60;27;"casat";"reg_no";"Fix";56;106;0;0;650;2132
"positiu";2;"pares";36;19;"casat";"reg_no";"Fix";35;162;4000;100;400;570
"positiu";3;"pares";60;39;"casat";"reg_no";"Fix";45;77;0;0;1000;1094
"positiu";8;"contr_privat";36;39;"casat";"reg_no";"Fix";75;128;2500;0;550;550
"positiu";10;"escriptura";48;55;"vidu";"reg_no";"Fix";35;189;9000;0;1200;1255
"positiu";10;"escriptura";36;32;"casat";"reg_no";"Auto";60;300;40000;3000;2000;4138
"positiu";5;"escriptura";60;54;"casat";"reg_no";"Auto";60;92;6000;1700;1700;1714
"positiu";20;"escriptura";48;58;"casat";"reg_no";"Auto";60;380;35000;0;1100;1150
"positiu";5;"escriptura";24;37;"casat";"reg_no";"Auto";75;500;14000;0;1500;2673
"positiu";20;"pares";60;36;"casat";"reg_no";"Auto";60;130;0;0;1200;1630
"positiu";12;"escriptura";60;28;"casat";"reg_no";"Fix";45;141;6000;400;1100;1544
"positiu";13;"escriptura";60;38;"casat";"reg_no";"Fix";75;220;6500;3600;1000;1195
"positiu";11;"escriptura";36;26;"casat";"reg_no";"Fix";60;146;5000;1300;400;1206
"positiu";17;"escriptura";60;41;"casat";"reg_no";"Auto";75;250;13500;3700;1400;2050
"positiu";6;"escriptura";36;42;"casat";"reg_no";"Fix";60;132;6000;0;1200;1513
"positiu";22;"escriptura";6;46;"casat";"reg_no";"Auto";90;150;75000;0;3000;3300
"positiu";25;"lloguer";60;52;"casat";"reg_no";"Fix";73;127;0;0;1030;1250
"negatiu";8;"escriptura";60;30;"casat";"reg_no";"Temp";60;90;3000;500;1000;1339
"negatiu";19;"escriptura";60;47;"casat";"reg_si";"Auto";90;166;12500;1000;875;875
